bdsk-url-1,year,volume,url,title,pages,number,journal,isbn,id,doi,date-modified,date-added,date,author,Type of product,ID,publisher,bdsk-url-2,note,keywords,eprint,abstract,issn,urldate,month,language,booktitle,volumne,version,editor,edition,copyright,author+an,address,pmid,type
https://doi.org/10.1371/journal.pone.0118581,2015,10,,"Ecological {Change}, {Sliding} {Baselines} and the {Importance} of {Historical} {Data}: {Lessons} from {Combing} {Observational} and {Quantitative} {Data} on a {Temperate} {Reef} {Over} 70 {Years}",e0118581,,Plos One,,,10.1371/journal.pone.0118581,,,,"Gatti, G. and Bianchi, C.N. and Parravicini, V. and {\textbf{Rovere}}, A. and Peirano, A. and Montefalcone, M. and Massa, F. and Morri, C.",article,gatti_ecological_2015,,,,SLCC,,"Understanding the effects of environmental change on ecosystems requires the identifica- tion of baselines that may act as reference conditions. However, the continuous change of these references challenges our ability to define the true natural status of ecosystems. The so-called sliding baseline syndrome can be overcome through the analysis of quantitative time series, which are, however, extremely rare. Here we show how combining historical quantitative data with descriptive `naturalistic' information arranged in a chronological chain allows highlighting long-term trends and can be used to inform present conservation schemes.We analysed the long-term change of a coralligenous reef, a marine habitat en- demic to the Mediterranean Sea. The coralligenous assemblages of Mesco Reef (Ligurian Sea,NWMediterranean) have been studied, although discontinuously, since 1937 thus making available both detailed descriptive information and scanty quantitative data: while the former was useful to understand the natural history of the ecosystem, the analysis of the latter was of paramount importance to provide a formal measure of change over time. Epi- benthic assemblages remained comparatively stable until the 1990s, when species re- placement, invasion by alien algae, and biotic homogenisation occurred within few years, leading to a new and completely different ecosystem state. The shift experienced by the cor- alligenous assemblages of Mesco Reef was probably induced by a combination of seawa- ter warming and local human pressures, the latter mainly resulting in increased water turbidity; in turn, cumulative stress may have favoured the establishment of alien species. This study showed that the combined analysis of quantitative and descriptive historical data represent a precious knowledge to understand ecosystem trends over time and provide help to identify baselines for ecological management.",1932-6203,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.marpolbul.2015.06.050,2015,98,,Through bleaching and tsunami: {Coral} reef recovery in the {Maldives},188--200,1-2,Marine Pollution Bulletin,,,10.1016/j.marpolbul.2015.06.050,,,,"Morri, C. and Montefalcone, M. and Lasagna, R. and Gatti, G. and {\textbf{Rovere}}, A. and Parravicini, V. and Baldelli, G. and Colantoni, P. and Bianchi, C. N.",article,morri_through_2015,,,ISBN: 1879-3363 (Electronic)\${\textbackslash}backslash\$r0025-326X (Linking) Publisher: Elsevier Ltd,"Coral reefs, Maldives, Hard coral cover, Indian Ocean, Recruitment, Resilience",,"Coral reefs are degrading worldwide, but little information exists on their previous conditions for most regions of the world. Since 1989, we have been studying the Maldives, collecting data before, during and after the bleaching and mass mortality event of 1998. As early as 1999, many newly settled colonies were recorded. Recruits shifted from a dominance of massive and encrusting corals in the early stages of recolonisation towards a dominance of Acropora and Pocillopora by 2009. Coral cover, which dropped to less than 10\% after the bleaching, returned to pre-bleaching values of around 50\% by 2013. The 2004 tsunami had comparatively little effect. In 2014, the coral community was similar to that existing before the bleaching. According to descriptors and metrics adopted, recovery of Maldivian coral reefs took between 6 and 15. years, or may even be considered unachieved, as there are species that had not come back yet.",18793363,,,,,,,,,All rights reserved,,,26228070,
https://doi.org/10.1080/17445647.2014.933134,2015,11,,"Coastal and marine geomorphology between {Albenga} and {Savona} ({NW} {Mediterranean} {Sea}, {Italy})",278--286,2,Journal of Maps,,,10.1080/17445647.2014.933134,,,,"{\textbf{Rovere}}, A. and Casella, E. and Vacchi, M. and Parravicini, V. and Firpo, M. and Ferrari, M. and Morri, C. and Bianchi, C. N.",article,Rovere_coastal_2015,,,ISBN: 9788578110796,"coastal geomorphology, marine environment, marine habitats, seafloor mapping",,"In this paper, we present a map describing the main geomorphological features of the coastal and marine area between the towns of Albenga and Savona (Ligurian Sea, NW Mediterranean) corresponding to a coastal stretch of ∼40 km. To produce this map, we collated data from the literature, orthophotos, perspective photos, multibeam and side scan sonar data, and undertook direct surveys to ground truth data obtained using indirect techniques. We divided the information into nine thematic layers, including bathymetry, natural coastal types, geomorphological elements, seafloor coverage (both geological and biological), coastal and nearshore dynamics, human influence on coastal and marine environments, coastal occupation and protected areas.",17445647,,,,,,,,,All rights reserved,,,25246403,
https://doi.org/10.1016/j.earscirev.2015.02.007,2015,145,,Mid-{Pliocene} shorelines of the {US} {Atlantic} {Coastal} {Plain} --- {An} improved elevation database with comparison to {Earth} model predictions,117--131,,Earth-Science Reviews,,,10.1016/j.earscirev.2015.02.007,,,,"{\textbf{Rovere}}, A. and Hearty, P. J. and Austermann, J. and Mitrovica, J. X. and Gale, J. and Moucha, R. and Forte, A.M. and Raymo, M.E.",article,Rovere_mid-pliocene_2015,,,Publisher: Elsevier B.V.,"Glacial isostatic adjustment, Dynamic topography",,"For nearly a century, the Atlantic Coastal Plain (ACP) of the United States has been the focus of studies investigating Pliocene and Pleistocene shorelines, however, the mapping of paleoshorelines was primarily done by using elevation contours on topographic maps. Here we review published geologic maps and compare them to paleoshoreline locations obtained through geomorphometric classification and satellite data. We furthermore present the results of an extensive field campaign that measured the mid-Pliocene (∼. 3.3-2.9. Ma) shorelines of the Atlantic Coastal Plain using high-accuracy GPS and digital elevation models. We compare our new dataset to positions and elevations extracted from published maps and find that the extracted site information from earlier studies is prone to significant error, both in the location and, more severely, in the elevation of the paleoshoreline. We also investigate, using geophysical modeling, the origin of post-depositional displacement of the shoreline from Georgia to Virginia. In particular, we correct the elevation of our shoreline for glacial isostatic adjustment (GIA) and then compare the corrected elevation to predictions of mantle flow-induced dynamic topography (DT). While a subset of these models does reconcile the general trends in the observed elevation of the mid-Pliocene shoreline, local discrepancies persist. These discrepancies suggests that either (i) the DT and GIA models presented here do not capture the full range of uncertainty in the input parameters; and/or (ii) other influences, such as sediment loading and unloading or local fault-driven tectonics, may have contributed to post-depositional deformation of the mid-Pliocene shoreline that are not captured in the above models. In this context, our field measurements represent an important observational dataset with which to compare future generations of geodynamic models. Improvements in models for DT, GIA and other relevant processes, together with an expanded, geographically distributed set of shoreline records, will ultimately be the key to obtaining more accurate estimates of eustatic sea level not only in the mid-Pliocene but also earlier in the Cenozoic.",00128252,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.quascirev.2015.02.012,2015,114,,"A review of the {MIS} 5e highstand deposits from {Santa} {Maria} {Island} ({Azores}, {NE} {Atlantic}): {Palaeobiodiversity}, palaeoecology and palaeobiogeography",126--148,,Quaternary Science Reviews,,,10.1016/j.quascirev.2015.02.012,,,,"{\'A}vila, S{\'e}rgio P. and Melo, Carlos and Silva, Lu{\'\i}s and Ramalho, Ricardo S. and Quartau, Rui and Hip{\'o}lito, Ana and Cordeiro, Ricardo and Rebelo, Ana Cristina and Madeira, Patr{\'\i}cia and {\textbf{Rovere}}, Alessio and Hearty, Paul J. and Henriques, Diamantino and da Silva, Carlos Marques and Martins, Ant{\'o}nio M.de Frias and Zazo, Caridad",article,avila_review_2015,,,,"MIS 5e, SLCC, Azores, NE Atlantic, Palaeobiodiversity, Palaeobiogeography, Palaeoecology, Sea-level changes, Volcanic oceanic islands",,"The privileged location of Santa Maria Island (Azores archipelago) in the middle of the North Atlantic makes the fossiliferous outcrops on this island of utmost importance to gain a better understanding of how coeval living communities relate to the broader evolutionary and biogeographic history of the Atlantic basin during the late Neogene and the Quaternary. Here we focus on this island's MIS 5e fossil record, offering a comprehensive review on the palaeobiodiversity, palaeoecology and palaeobiogeography of the biota living in the mid North Atlantic during this interglacial. Several studies in oceanic islands stress the huge impact of sea level changes on insular communities. Pleistocene sea-level changes occur during the short-time events known as ""Terminations"" (associated to glacial/interglacial shifts) as well as with the onset of glaciations (associated to interglacial/glacial shifts). Both are responsible for extinctions and local disappearance of species, bottleneck effects and formation of new species, resulting in community structure changes. This work increases the number of fossil marine taxa reported from the Last Interglacial deposits of Santa Maria to 143 species. All the 19 new records are molluscs (13 gastropods and 6 bivalves), thus increasing the number of fossil molluscs to 136 species. Although thermophilic members of the ""Senegalese"" tropical fauna were found in these deposits, many of the most emblematic species (e.g., Persististrombus latus (= Strombus bubonius), Cymbula safiana, Harpa doris, Cardita senegalensis, Barbatia plicata, Ctena eburnea or Hyotissa hyotis) are absent, suggesting that they did not reach the Azores. Our results indicate that the main differences between the species composition of the MIS 5e and the present-day shallow-water Azorean communities are probably due to the dropping of sea surface temperature associated with the onset of the last glaciation, which had both direct and indirect effects on species ecology. A group of 21 thermophilic species was directly affected by the lower sea surface temperature, whereas a group of four sand-associated species was indirectly but similarly affected by the lowering of the sea level. Both groups have locally disappeared from the Azores. However, none of the extant endemic species found on the studied MIS 5e outcrops was apparently affected by the lowering SST. In contrast to the biogeographical relationships of the recent Azorean shallow marine molluscs, which are predominantly with the Mediterranean Region, Portugal and with the Madeira and Canary Islands archipelagos, the palaeobiogeographical relationships of the MIS 5e Azorean marine molluscs are mainly with Canaries and West Africa. Despite the general low similarity of the biogeographical relationships between the Azores and Cape Verde Archipelago, on both the recent and the MIS 5e analysis, this similarity is nevertheless higher for the MIS 5e mollusc assemblages, emphasizing the role of Cape Verde as an important source of warm-water species during the Last Interglacial.",02773791,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1007/978-3-319-17001-5_35-1,2015,,,Resilience of the {Marine} {Animal} {Forest},1--30,,,978-3-319-17001-5,,10.1007/978-3-319-17001-5_35-1,,,,"Bianchi, C. N. and Morri, C. and Lasagna, R. and Montefalcone, M. and Gatti, G. and Parravicini, V. and {\textbf{Rovere}}, A.",book,bianchi_resilience_2015,Springer International Publishing,,,,,"This chapter reviews the major known monospecific and multispecific sponge aggregations in the world's oceans. They are shown to occur from the intertidal to abyssal depths, in tropical, temperate, and high latitudes and sometimes to create spectacular formations, such as glass sponge reefs, lithistid reef-like fields, and carnivorous sponge grounds. Sponge aggregations are recognized as singular vulnerable habitats that deserve special research attention and legal protection. However, this review reveals that there is only a poor and fragmentary under- standing of the main biological, environmental, and geochemical factors that favor and maintain these systems, including the food supply, which is funda- mental knowledge. There is also a particular lack of information regarding reproductive biology, growth rates, life spans, and the main factors causing mortality, all crucial drivers for understanding population and community dynamics and for developing conservation strategies. The sponge aggregations have been shown to increase the structural complexity of the habitats, attracting a larger variety of organisms and locally enhancing biodiversity. From the very few cases in which sponge biomass and sponge physiology have been reliably approached jointly, phenomenal fluxes of matter and energy have been inferred. Through their benthic-pelagic coupling, some of the densest sponge aggrega- tions have a significant local or regional impact on major biogeochemical cycles and food webs. Physical damage and habitat destruction derived from man-driven activities along with epidemic diseases facilitated by global envi- ronmental alterations emerge as major threats to the future of the sponge aggregations.",,,,,Marine {Animal} {Forests}: {The} {Ecology} of {Benthic} {Biodiversity} {Hotspots},,,"Rossi, S. and Bramanti, L. and Gori, A. and del Valle, C.",,All rights reserved,7=highlight,Cham,,
,2015,,,Chapter 18 {Fixed} biological indicators,268--280,,,978-1-118-45258-5,,,,,,"{\textbf{Rovere}}, A. and Antonioli, F. and Bianchi, C. N.",book,chapter_2015,Wiley Online Library,,Section: 18,,,"Fixed biological indicators are organisms that live fixed to hard substrates and their living range or the upper part of it is located near or at sea level. In this chapter, the main fixed biological indicators are described and their value as indicators of former sea levels is discussed.",,,,,Handbook of sea level research,,,"Shennan, Ian and Long, Antony J. and Horton, Benjamin P",,All rights reserved,1=highlight,,,
https://doi.org/10.1594/PANGAEA.846545,2015,,https://doi.org/10.1594/PANGAEA.846545,"{Maps of coastal and marine geomorphology between Albenga and Savona (NW Mediterranean Sea, Italy)}",,,,,,10.1594/PANGAEA.846545,,,,"{\textbf{Rovere}}, A. and Casella, E. and Vacchi, M. and Parravicini, V. and Firpo, M. and Ferrari, M. and Morri, C. and Bianchi, C. N.",dataset,rovere2015moca,PANGAEA,,"Supplement to: Rovere, A et al. (2015): Coastal and marine geomorphology between Albenga and Savona (NW Mediterranean Sea, Italy). Journal of Maps, 11(2), 278-286, https://doi.org/10.1080/17445647.2014.933134",,,"In this paper, we present a map describing the main geomorphological features of the coastal and marine area between the towns of Albenga and Savona (Ligurian Sea, NW Mediterranean) corresponding to a coastal stretch of {\textasciitilde}40 km. To produce this map, we collated data from the literature, orthophotos, perspective photos, multibeam and side scan sonar data, and undertook direct surveys to ground truth data obtained using indirect techniques. We divided the information into nine thematic layers, including bathymetry, natural coastal types, geomorphological elements, seafloor coverage (both geological and biological), coastal and nearshore dynamics, human influence on coastal and marine environments, coastal occupation and protected areas.",,,,,,,,,,,,,,data set
https://doi.org/10.1594/PANGAEA.846540,2015,,https://doi.org/10.1594/PANGAEA.846540,{Mid-Pliocene shorelines of the US Atlantic Coastal Plain},,,,,,10.1594/PANGAEA.846540,,,,Alessio {\textbf{Rovere}} and Paul J {Hearty} and J {Austermann} and Jerry X {Mitrovica} and J {Gale} and R {Moucha} and A M {Forte} and Maureen E {Raymo},dataset,rovere2015msot,PANGAEA,,"Supplement to: Rovere, A et al. (2015): Mid-Pliocene shorelines of the US Atlantic Coastal Plain {\textemdash} An improved elevation database with comparison to Earth model predictions. Earth-Science Reviews, 145, 117-131, https://doi.org/10.1016/j.earscirev.2015.02.007",,,"For nearly a century, the Atlantic Coastal Plain (ACP) of the United States has been the focus of studies investigating Pliocene and Pleistocene shorelines, however, the mapping of paleoshorelines was primarily done by using elevation contours on topographic maps. Here we review published geologic maps and compare them to paleoshoreline locations obtained through geomorphometric classification and satellite data. We furthermore present the results of an extensive field campaign that measured the mid-Pliocene ({\textasciitilde} 3.3-2.9 Ma) shorelines of the Atlantic Coastal Plain using high-accuracy GPS and digital elevation models. We compare our new dataset to positions and elevations extracted from published maps and find that the extracted site information from earlier studies is prone to significant error, both in the location and, more severely, in the elevation of the paleoshoreline. We also investigate, using geophysical modeling, the origin of post-depositional displacement of the shoreline from Georgia to Virginia. In particular, we correct the elevation of our shoreline for glacial isostatic adjustment (GIA) and then compare the corrected elevation to predictions of mantle flow-induced dynamic topography (DT). While a subset of these models does reconcile the general trends in the observed elevation of the mid-Pliocene shoreline, local discrepancies persist. These discrepancies suggests that either (i) the DT and GIA models presented here do not capture the full range of uncertainty in the input parameters; and/or (ii) other influences, such as sediment loading and unloading or local fault-driven tectonics, may have contributed to post-depositional deformation of the mid-Pliocene shoreline that are not captured in the above models. In this context, our field measurements represent an important observational dataset with which to compare future generations of geodynamic models. Improvements in models for DT, GIA and other relevant processes, together with an expanded, geographically distributed set of shoreline records, will ultimately be the key to obtaining more accurate estimates of eustatic sea level not only in the mid-Pliocene but also earlier in the Cenozoic.",,,,,,,,,,,,,,data set
https://doi.org/10.1594/PANGAEA.846652,2015,,https://doi.org/10.1594/PANGAEA.846652,{A comprehensive analysis of tidal notches in the Mediterranean Sea},,,,,,10.1594/PANGAEA.846652,,,,"Antonioli, F. and Lo Presti, V. and {\textbf{Rovere}}, A. and Ferranti, L. and Anzidei, M. and Furlani, S. and Mastronuzzi, G. and Orru, P. E. and Scicchitano, G. and Sannino, G. and Spampinato, C. R. and Pagliarulo, R. and Deiana, G. and de Sabata, E. and Sans{\`o}, P. and Vacchi, M. and Vecchio, A.",dataset,antonioli2015acao,PANGAEA,,"Supplement to: Antonioli, F et al. (2015): Tidal notches in Mediterranean Sea: a comprehensive analysis. Quaternary Science Reviews, 119, 66-84, https://doi.org/10.1016/j.quascirev.2015.03.016",,,"Recent works (Evelpidou et al., 2012) suggest that the modern tidal notch is disappearing worldwide due sea level rise over the last century. In order to assess this hypothesis, we measured modern tidal notches in several of sites along the Mediterranean coasts. We report observations on tidal notches cut along carbonate coasts from 73 sites from Italy, France, Croatia, Montenegro, Greece, Malta and Spain, plus additional observations carried outside the Mediterranean. At each site, we measured notch width and depth, and we described the characteristics of the biological rim at the base of the notch. We correlated these parameters with wave energy, tide gauge datasets and rock lithology.\\
\\
Our results suggest that, considering {\textquotesingle}the development of tidal notches the consequence of midlittoral bioerosion{\textquotesingle} (as done in Evelpidou et al., 2012) is a simplification that can lead to misleading results, such as stating that notches are disappearing. Important roles in notch formation can be also played by wave action, rate of karst dissolution, salt weathering and wetting and drying cycles. Of course notch formation can be augmented and favoured also by bioerosion which can, in particular cases, be the main process of notch formation and development.\\
\\
Our dataset shows that notches are carved by an ensemble rather than by a single process, both today and in the past, and that it is difficult, if not impossible, to disentangle them and establish which one is prevailing. We therefore show that tidal notches are still forming, challenging the hypothesis that sea level rise has drowned them.",,,,,,,,,,,,,,data set
https://doi.org/10.1016/j.geomorph.2015.12.023,2016,257,,The magnitude of a mid-{Holocene} sea-level highstand in the {Strait} of {Makassar},155--163,,Geomorphology,,,10.1016/j.geomorph.2015.12.023,,,,"Mann, T. and {\textbf{Rovere}}, A. and Sch{\""o}ne, T. and Klicpera, A. and Stocchi, P. and Lukman, M. and Westphal, H.",article,mann_magnitude_2016,,,Publisher: Elsevier B.V.,"Glacial isostatic adjustment, Indo-Pacific, Spermonde Shelf, Sulawesi",,"Knowledge on the timing and magnitude of past sea-level changes is essential to understand modern and future sea-level variability. Holocene sea-level data from literature on the west coast of Sulawesi, central Indonesia, suggest that this region experienced two relative sea-level highstands over the last 6000years, with magnitudes exceeding two meters. However, recent datasets from the Indo-Pacific region do not support high-magnitude sea-level oscillations during the Holocene in tectonically stable far-field locations. Here we present a new, high-precision, mid-Holocene sea-level dataset from the Spermonde Shelf off southwest Sulawesi. We surveyed 21 fossil microatolls on the reef flats of two coral islands (Pulau Panambungan and Pulau Barrang Lompo) and referred their elevations to local mean sea level and to the height of living coral. Radiometrically calibrated ages from emergent fossil microatolls on Pulau Panambungan indicate a relative sea-level highstand not exceeding 0.5m above present at ca. 5600cal.yrBP. The highstand is followed by a relatively rapid sea-level fall towards present sea level that was reached at around 4000cal.yrBP. Fossil microatolls from nearby Pulau Barrang Lompo show the same trend, however with a coherent negative vertical offset of about 0.8m compared to their equivalents on Pulau Panambungan. The largely consistent gradients of both trends (∼−0.14mmyr−1), the consistent elevation of living microatolls in the Spermonde, and a number of instructive geomorphic features indicate a localized, post-formational and probably recent drop of the fossil microatolls on the densely populated island Pulau Barrang Lompo. The relative sea-level trend inferred from Pulau Panambungan is well within the range of geophysical predictions based on ANICE-SELEN ice sheet model, which predict a highstand that is significantly lower than those predicted by other GIA models for this area. Although a complete interpretation of the Holocene sea-level history will require additional high-resolution datasets from this and surrounding territories in SE Asia, our results suggest that there was merely a single Holocene highstand in central Indonesia, the magnitude of which was substantially lower than hitherto assumed.",0169555X,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1007/s00367-016-0435-9,2016,36,,Drones as tools for monitoring beach topography changes in the {Ligurian} {Sea} ({NW} {Mediterranean}),151--163,2,Geo-Marine Letters,,,10.1007/s00367-016-0435-9,,,,"Casella, E. and {\textbf{Rovere}}, A. and Pedroncini, A. and Stark, C. P. and Casella, M. and Ferrari, M. and Firpo, M.",article,casella_drones_2016,,,,,,"The aim of this study was to evaluate topographic changes along a stretch of coastline in the Municipality of Borghetto Santo Spirito (Region of Liguria, Italy, north-western Mediterranean) by means of a remotely piloted aircraft system coupled with structure from motion and multi-view stereo techniques. This sector was surveyed three times over 5 months in the fall--winter of 2013--2014 (1 November 2013, 4 December 2013, 17 March 2014) to obtain digital elevation models and orthophotos of the beach. Changes in beach topography associated with storm action and human activities were assessed in terms of gain/loss of sediments and shifting of the wet--dry boundary defining the shoreline. Between the first and second surveys, the study area was hit by two storms (10--11 November 2013 and 21--22 November 2013) with waves approaching from the E--NNE, causing a shoreline retreat which, in some sectors, reached 7 m. Between the second and third surveys, by contrast, four storms (25--27 December 2013, 5--6 January 2014, 17--18 January 2014 and 6--10 February 2014) with waves propagating from the SE produced a general advancement of the shoreline (up to ∼5 m) by deposition of sediments along some parts of the beach. The data also reflect changes in beach topography due to human activity during the 2013 fall season, when private beach managers quarried ∼178 m3 of sediments on the emerged beach near the shoreline to accumulate them landwards. The results show that drones can be used for regular beach monitoring activities, and that they can provide new insights into the processes related to natural and/or human-related topographic beach changes.",14321157,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1007/s10021-016-9966-1,2016,19,,Budget of {Primary} {Production} and {Dinitrogen} {Fixation} in a {Highly} {Seasonal} {Red} {Sea} {Coral} {Reef},771--785,5,Ecosystems,,,10.1007/s10021-016-9966-1,,,,"Cardini, U. and Bednarz, V. N. and van Hoytema, N. and {\textbf{Rovere}}, A. and Naumann, M. S. and Al-Rshaidat, M. M. D. and Wild, C.",article,cardini_budget_2016,,,,"Biogeochemical cycling, Diazotrophy, Gulf of Aqaba, Nutrient budget, Photosynthesis, Productivity",,"Biological dinitrogen (N2) fixation (diazotrophy, BNF) relieves marine primary producers of nitrogen (N) limitation in a large part of the world oceans. N concentrations are particularly low in tropical regions where coral reefs are located, and N is therefore a key limiting nutrient for these productive ecosystems. In this context, the importance of diazotrophy for reef productivity is still not resolved, with studies up to now lacking organismal and seasonal resolution. Here, we present a budget of gross primary production (GPP) and BNF for a highly seasonal Red Sea fringing reef, based on ecophysiological and benthic cover measurements combined with geospatial analyses. Benthic GPP varied from 215 to 262 mmol C m -2 reef d-1, with hard corals making the largest contribution (41-76\%). Diazotrophy was omnipresent in space and time, and benthic BNF varied from 0.16 to 0.92 mmol N m-2 reef d-1. Planktonic GPP and BNF rates were respectively approximately 60- and 20-fold lower than those of the benthos, emphasizing the importance of the benthic compartment in reef biogeochemical cycling. BNF showed higher sensitivity to seasonality than GPP, implying greater climatic control on reef BNF. Up to about 20\% of net reef primary production could be supported by BNF during summer, suggesting a strong biogeochemical coupling between diazotrophy and the reef carbon cycle. Details",14350629,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.earscirev.2016.06.006,2016,159,,The analysis of {Last} {Interglacial} ({MIS} 5e) relative sea-level indicators: {Reconstructing} sea-level in a warmer world,404--427,,Earth-Science Reviews,,,10.1016/j.earscirev.2016.06.006,,,,"{\textbf{Rovere}}, A. and Raymo, M. E. and Vacchi, M. and {\underline{Lorscheid}}, T. and Stocchi, P. and G{\'o}mez-Pujol, L. and {\underline{Harris}}, D.L. and Casella, E. and O'Leary, M. J. and Hearty, P. J.",article,Rovere_analysis_2016,,,ISBN: 0012-8252 Publisher: Elsevier B.V.,"MIS 5e, Last Interglacial, Ice sheets, Paleo sea-level, Past sea-level changes, Sea-level marker, Sea-level reconstruction",,"The Last Interglacial (MIS 5e, 128--116 ka) is among the most studied past periods in Earth's history. The climate at that time was warmer than today, primarily due to different orbital conditions, with smaller ice sheets and higher sea-level. Field evidence for MIS 5e sea-level was reported from thousands of sites, but often paleo shorelines were measured with low-accuracy techniques and, in some cases, there are contrasting interpretations about paleo sea-level reconstructions. For this reason, large uncertainties still surround both the maximum sea-level attained as well as the pattern of sea-level change throughout MIS 5e. Such uncertainties are exacerbated by the lack of a uniform approach to measuring and interpreting the geological evidence of paleo sea-levels. In this review, we discuss the characteristics of MIS 5e field observations, and we set the basis for a standardized approach to MIS 5e paleo sea-level reconstructions, that is already successfully applied in Holocene sea-level research. Application of the standard definitions and methodologies described in this paper will enhance our ability to compare data from different research groups and different areas, in order to gain deeper insights into MIS 5e sea-level changes. Improving estimates of Last Interglacial sea-level is, in turn, a key to understanding the behavior of ice sheets in a warmer world.",00128252,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1016/j.earscirev.2016.02.002,2016,155,,Multiproxy assessment of {Holocene} relative sea-level changes in the western {Mediterranean}: variability in the sea-level histories and redefinition of the isostatic signal.,172--197,,Earth Science Reviews,,,10.1016/j.earscirev.2016.02.002,,,,"Vacchi, M. and Marriner, N. and Morhange, C. and Spada, G. and Fontana, A. and {\textbf{Rovere}}, A.",article,vacchi_multiproxy_2016,,,"Place: Vienna, AT Publisher: Elsevier B.V.","Holocene, Mediterranean Sea, Isostatic adjustment, Sea-level database, Sea-level proxy",,"A review of 917 relative sea-level (RSL) data-points has resulted in the first quality-controlled database constraining the Holocene sea-level histories of the western Mediterranean Sea (Spain, France, Italy, Slovenia, Croatia, Malta and Tunisia). We reviewed and standardized the geological RSL data-points using a new multi-proxy methodology based on: (1) modern taxa assemblages in Mediterranean lagoons and marshes; (2) beachrock characteristics (cement fabric and chemistry, sedimentary structures); and (3) the modern distribution of Mediterranean fixed biological indicators. These RSL data-points were coupled with the large number of archaeological RSL indicators available for the western Mediterranean. We assessed the spatial variability of RSL histories for 22 regions and compared these with the ICE-5G (VM2) GIA model. In the western Mediterranean, RSL rose continuously for the whole Holocene with a sudden slowdown at ∼. 7.5 ka BP and a further deceleration during the last ∼. 4.0 ka BP, after which time observed RSL changes are mainly related to variability in isostatic adjustment. The sole exception is southern Tunisia, where data show evidence of a mid-Holocene high-stand compatible with the isostatic impacts of the melting history of the remote Antarctic ice sheet.Our results indicate that late-Holocene sea-level rise was significantly slower than the current one. First estimates of GIA contribution indicate that, at least in the northwestern sector, it accounts at least for the 25-30\% of the ongoing sea-level rise recorded by Mediterranean tidal gauges. Such contribution is less constrained at lower latitudes due to the lower quality of the late Holocene index points. Future applications of spatio-temporal statistical techniques are required to better quantify the gradient of the isostatic contribution and to provide improved context for the assessment of 20th century acceleration of Mediterranean sea-level rise.",00128252,,,,,,,,,All rights reserved,,,,
https://doi.org/10.1007/s40641-016-0045-7,2016,2,,Eustatic and {Relative} {Sea} {Level} {Changes},221--231,4,Current Climate Change Reports,,,10.1007/s40641-016-0045-7,,,,"{\textbf{Rovere}}, A. and Stocchi, P. and Vacchi, M.",article,Rovere_eustatic_2016,,,Publisher: Current Climate Change Reports,"Sea level, Sea level changes, eustasy, Eustasy, gia, GIA, Isost, isostasy, Isostasy, of the topical collection, on sea level projections, relative sea level, Relative sea level, sea level, sea level changes, this article is part",,"Sea level changes can be driven by either variations in the masses or volume of the oceans, or by changes of the land with respect to the sea surface. In the first case, a sea level change is defined `eustatic'; otherwise, it is defined `relative'. Several techniques can be used to observe changes in sea level, from satellite data to tide gauges to geological or archeological proxies. Regardless of the technique used, `eustasy' cannot be measured directly, but only calculated after perturbing factors of different origins are taken into account. In this paper, we review the meaning and main processes that contribute to eustatic and relative sea level changes, and we give an overview of the different techniques used to observe them.",2198-6061,,,,,,,,,All rights reserved,,,,
https://doi.org/10.5194/cp-12-911-2016,2016,12,,"Palaeo-sea-level and palaeo-ice-sheet databases: problems, strategies, and perspectives",911--921,4,Climate of the Past,,,10.5194/cp-12-911-2016,,,,"D{\""u}sterhus, A. and {\textbf{Rovere}}, A. and Carlson, A. E. and Horton, B. P. and Klemann, V. and Tarasov, L. and Barlow, N. L. M. and Bradwell, T. and Clark, J. and Dutton, A. and Gehrels, W. R. and Hibbert, F. D. and Hijma, M. P. and Khan, N. and Kopp, R. E. and Sivan, D. and T{\""o}rnqvist, T. E.",article,dusterhus_palaeo-sea-level_2016,,,,,,"{\textbackslash}textlessp{\textbackslash}textgreaterSea-level and ice-sheet databases have driven numerous advances in understanding the Earth system. We describe the challenges and offer best strategies that can be adopted to build self-consistent and standardised databases of geological and geochemical information used to archive palaeo-sea-levels and palaeo-ice-sheets. There are three phases in the development of a database: (i) measurement, (ii) interpretation, and (iii) database creation. Measurement should include the objective description of the position and age of a sample, description of associated geological features, and quantification of uncertainties. Interpretation of the sample may have a subjective component, but it should always include uncertainties and alternative or contrasting interpretations, with any exclusion of existing interpretations requiring a full justification. During the creation of a database, an approach based on accessibility, transparency, trust, availability, continuity, completeness, and communication of content (ATTAC{\textbackslash}textlesssup{\textbackslash}textgreater3{\textbackslash}textless/sup{\textbackslash}textgreater) must be adopted. It is essential to consider the community that creates and benefits from a database. We conclude that funding agencies should not only consider the creation of original data in specific research-question-oriented projects, but also include the possibility of using part of the funding for IT-related and database creation tasks, which are essential to guarantee accessibility and maintenance of the collected data.{\textbackslash}textless/p{\textbackslash}textgreater",1814-9332,,,,,,,,,All rights reserved,,,,
